estilo_link,nome,estilo_texto,qnt,Field4,Page_URL,Page_Title,Current_Time
Pop Music,"Der Nino Aus Wien
			","
			Pop Music 
			
			
				3 músicas
			
			","
				3 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/der-nino-aus-wien,Der Nino Aus Wien - cifras e tablaturas | CIFRAS,2021-07-26 15:58:47.717
,,,"
				6 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/ana-olic,Ana Olic - cifras e tablaturas | CIFRAS,2021-07-26 15:58:48.818
Não Informada,"Niagara
			","
			Não Informada 
			
			
				6 músicas
			
			","
				6 músicas
			","https://www.letras.com.br/arquivos/fotos/artistas/thumb1/181/18060,72355.jpg",https://www.cifras.com.br/niagara,Niagara - cifras e tablaturas | CIFRAS,2021-07-26 15:58:48.402
Não Informada,"Nic Cowan
			","
			Não Informada 
			
			
				2 músicas
			
			","
				2 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/nic-cowan,Nic Cowan - cifras e tablaturas | CIFRAS,2021-07-26 15:58:50.484
Não Informada,"Isla de Caras
			","
			Não Informada 
			
			
				2 músicas
			
			","
				2 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/isla-de-caras,Isla de Caras - cifras e tablaturas | CIFRAS,2021-07-26 15:58:51.569
Não Informada,"Isla de Caras
			","
			Não Informada 
			
			
				2 músicas
			
			","
				2 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/isla-de-caras,Isla de Caras - cifras e tablaturas | CIFRAS,2021-07-26 15:58:51.907
Gospel,"Isma Collar
			","
			Gospel 
			
			
				2 músicas
			
			","
				2 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/isma-collar,Isma Collar - cifras e tablaturas | CIFRAS,2021-07-26 15:58:53.339
Heavy Metal,"Cold Specks
			","
			Heavy Metal 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/cold-specks,Cold Specks - cifras e tablaturas | CIFRAS,2021-07-26 15:58:54.865
Punk Rock,"Peste & Sida
			","
			Punk Rock 
			
			
				2 músicas
			
			","
				2 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/peste-sida,Peste & Sida - cifras e tablaturas | CIFRAS,2021-07-26 15:58:56.728
Não Informada,"Hermanos Martínez Gil
			","
			Não Informada 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/hermanos-martinez-gil,Hermanos Martínez Gil - cifras e tablaturas | CIFRAS,2021-07-26 15:58:55.478
,,,,,https://www.cifras.com.br/di-rect,https://www.cifras.com.br/di-rect,2021-07-26 15:58:55.508
Não Informada,"Hermanos Martínez Gil
			",,"
				2 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/ana-nery-e-dlucca,Ana Nery e D´lucca - cifras e tablaturas | CIFRAS,2021-07-26 15:58:57.010
Pop Music,"Niki Haris
			","
			Pop Music 
			
			
				1 músicas
			
			","
				1 músicas
			","https://www.letras.com.br/arquivos/fotos/artistas/thumb1/243/24278,105033.jpg",https://www.cifras.com.br/niki-haris,Niki Haris - cifras e tablaturas | CIFRAS,2021-07-26 15:58:56.947
Não Informada,"Forró Mania
			","
			Não Informada 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/forro-mania,Forró Mania - cifras e tablaturas | CIFRAS,2021-07-26 15:58:58.837
Rock Alternativo,"Os Almirantes
			","
			Rock Alternativo 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/os-almirantes,Os Almirantes - cifras e tablaturas | CIFRAS,2021-07-26 15:58:59.010
Rock Alternativo,"Os Barões
			","
			Diversos 
			
			
				2 músicas
			
			","
				2 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/os-baroes,Os Barões - cifras e tablaturas | CIFRAS,2021-07-26 15:58:59.997
Diversos,,,,,https://www.cifras.com.br/os-bertussi,Os Bertussi - cifras e tablaturas | CIFRAS,2021-07-26 15:59:00.716
