artista,estilo_musical,qnt_musicas,thumbnail,link_cifras,pais
B.J.Thomas,Romântica,13,https://www.cifras.com.br/arquivos/artistas/bjthomas.jpg,https://www.cifras.com.br/bjthomas,USA
Fabio Alves,Gospel,5,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fabio-alves,Brasil
GAVI,,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/gavi,Brasil
Fabio Alves,Gospel,5,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fabio-alves,Brasil
Adiel Vieira,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/adiel-vieira,Brasil
Banda Odisséia,Pop Music,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-odisseia,Brasil
B.J.Thomas,Romântica,13,https://www.cifras.com.br/arquivos/artistas/bjthomas.jpg,https://www.cifras.com.br/bjthomas,USA
Naaran Teresina PI,Gospel,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/naaran-teresina-pi,Brasil
Dayanidhi Rao,Não Informada,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dayanidhi-rao,desconhecido
Gavin Creel,Não Informada,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/gavin-creel,desconhecido
Banda Azul e Nívea Soares,Gospel,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-azul-e-nivea-soares,Brasil
,,12,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edu-ribeiro-cativeiro,Brasil
Eddie Meduza,Rock Alternativo,42,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/eddie-meduza,Suécia
,Romântica,,,https://www.cifras.com.br/d-mente,desconhecido
Banda Azul e Nívea Soares,Gospel,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-azul-e-nivea-soares,Brasil
Nathalie Colen,Gospel,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/nathalie-colen,Brasil
Eddie Meduza,Rock Alternativo,42,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/eddie-meduza,Suécia
De Hombre A Hombre,Gospel,3,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/de-hombre-a-hombre,México
Banda Bob Simon,Não Informada,4,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-bob-simon,Brasil
Dead And Divine,Não Informada,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dead-and-divine,Canadá
Dave East,Não Informada,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dave-east,desconhecido
Nabiha,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/nabiha,desconhecido
Dead And Divine,Não Informada,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dead-and-divine,Canadá
