artista,estilo_musical,qnt_musicas,thumbnail,link_cifras,pais
Faell Mota,MPB,6.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/faell-mota,Brasil
Pagode da Tia Doca,Não Informada,3.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/pagode-da-tia-doca,Brasil
Haikaiss,Não Informada,9.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/941/94048,226184.jpg",https://www.cifras.com.br/haikaiss,Brasil
Jader e Chelly Medeiros,Gospel,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/jader-e-chelly-medeiros,Brasil
Lado de Cá,Não Informada,5.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/lado-de-ca,Brasil
O Cântico,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/o-cantico,Brasil
Palavrantiga,Não Informada,25.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/754/75384,201609.jpg",https://www.cifras.com.br/palavrantiga,Brasil
Abutres,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/abutres,Brasil
Fernanda Fernandes Costa,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fernanda-fernandes-costa,Brasil
Fernandes Lima,Não Informada,25.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/375/37494,154218.jpg",https://www.cifras.com.br/fernandes-lima,Brasil
Garras de Amor,Não Informada,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/garras-de-amor,Brasil
Eder E Enrique,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/eder-e-enrique,Brasil
Fernando,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fernando,Brasil
Palomares Gabino,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/palomares-gabino,Brasil
Dayane Cassia,Não Informada,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dayane-cassia,Brasil
Edu Quintana,Não Informada,14.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edu-quintana,Brasil
Dayane Cassia,Não Informada,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dayane-cassia,Brasil
Adorável És,Gospel,7.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/adoravel-es,Brasil
Edu Quintana,Não Informada,14.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edu-quintana,Brasil
Fanzine,MPB,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fanzine,Brasil
Hardneja Sertacore,Diversos,5.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/753/75290,58755.png",https://www.cifras.com.br/hardneja-sertacore,Brasil
Fanzine,MPB,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fanzine,Brasil
Pamela Lorrany,Gospel,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/pamela-lorrany,Brasil
Caio Albuka,Não Informada,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/caio-albuka,Brasil
Naielly Leite,Gospel,8.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/naielly-leite,Brasil
Pamela Lorrany,Gospel,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/pamela-lorrany,Brasil
Jaffet Ornellas,MPB,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/jaffet-ornellas,Brasil
Pamela Lorrany,Gospel,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/pamela-lorrany,Brasil
Naielly Leite,Gospel,8.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/naielly-leite,Brasil
Banda Inside,MPB,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-inside,Brasil
Edson de Souza,Católicas,7.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edson-de-souza,Brasil
Edson de Souza,Católicas,7.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edson-de-souza,Brasil
Caike Olivera,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/caike-olivera,Brasil
Banda Painel de Controle,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-painel-de-controle,Brasil
Banda Jeová Nissi,Gospel,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-jeova-nissi,Brasil
Edson de Souza,Católicas,7.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edson-de-souza,Brasil
Banda Painel de Controle,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-painel-de-controle,Brasil
Banda Painel de Controle,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-painel-de-controle,Brasil
Fernanda Lara,Não Informada,27.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/209/20836,214885.jpg",https://www.cifras.com.br/fernanda-lara,Brasil
Banda OneWay,Gospel,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-oneway,Brasil
Geovany Reis e Fabricio,Sertanejo,14.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/904/90353,214155.jpg",https://www.cifras.com.br/geovany-reis-e-fabricio,Brasil
Edgard de Castro,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edgard-de-castro,Brasil
Gabriela Viegas,Pop Music,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/gabriela-viegas,Brasil
Natanael Gomes,Não Informada,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/natanael-gomes,Brasil
Geovany Reis e Fabricio,Sertanejo,14.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/904/90353,214155.jpg",https://www.cifras.com.br/geovany-reis-e-fabricio,Brasil
D'Black,Soul,18.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/466/46586,48413.jpg",https://www.cifras.com.br/dblack,Brasil
D'Black,Soul,18.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/466/46586,48413.jpg",https://www.cifras.com.br/dblack,Brasil
D'Black,Soul,18.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/466/46586,48413.jpg",https://www.cifras.com.br/dblack,Brasil
Jaime Jr,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/jaime-jr,Brasil
Banda Verso 1,Gospel,6.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-verso-1,Brasil
Naara e Sarah,Reggae,1.0,,https://www.cifras.com.br/naara-e-sarah,Brasil
Banda Verso 1,Gospel,6.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-verso-1,Brasil
Edson Camargo,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edson-camargo,Brasil
Edu e Maraial,Não Informada,21.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/711/71094,67883.jpg",https://www.cifras.com.br/edu-e-maraial,Brasil
Gel Souza,Gospel,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/gel-souza,Brasil
Eder Bueno,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/eder-bueno,Brasil
Banda Koinê,Gospel,10.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-koine,Brasil
Jaime Sales,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/jaime-sales,Brasil
Admiradores de Cristo,Gospel,3.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/admiradores-de-cristo,Brasil
Admiradores de Cristo,Gospel,3.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/admiradores-de-cristo,Brasil
Admiradores de Cristo,Gospel,3.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/admiradores-de-cristo,Brasil
Edu Gueda,Não Informada,3.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edu-gueda,Brasil
B.A.H.,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/bah,Brasil
D-Covering,Não Informada,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/d-covering,Brasil
Banda Lord Zig,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-lord-zig,Brasil
Pamella e Douglas,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/pamella-e-douglas,Brasil
Feliciano Amaral,Gospel,35.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/174/17387,6678.jpg",https://www.cifras.com.br/feliciano-amaral,Brasil
Nathália Braga,Não Informada,4.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/nathalia-braga,Brasil
Dany Romano,Rock'n Roll,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dany-romano,Brasil
Kaendangongo,Não Informada,6.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/kaendangongo,Brasil
Eduardo Gibelli,Não Informada,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/eduardo-gibelli,Brasil
Nathália Braga,Não Informada,4.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/nathalia-braga,Brasil
Nathalia Teixeira,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/nathalia-teixeira,Brasil
Fantasmão,Axé Music,13.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/289/28827,9416.gif",https://www.cifras.com.br/fantasmao,Brasil
Gelcy do Cavaco,Samba e Pagode,3.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/gelcy-do-cavaco,Brasil
Eduardo Pacheco de Carvalho,Gospel,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/eduardo-pacheco-de-carvalho,Brasil
Adilson Ribeiro,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/adilson-ribeiro,Brasil
Felipe Simões,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/felipe-simoes,Brasil
Félix,Não Informada,4.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/felix,Brasil
Banda Podre,MPB,4.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-podre,Brasil
Banda Podre,MPB,4.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-podre,Brasil
Banda Jumento Desembestado,Gospel,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-jumento-desembestado,Brasil
