"Title","Website","Time"
"Daio","https://www.cifras.com.br/daio","https://www.e-chords.com/t/f1.gif"
"Bachelor Girl","https://www.cifras.com.br/bachelor-girl","https://www.e-chords.com/t/f12.gif"
"Da Vagabonds","https://www.cifras.com.br/da-vagabonds","https://www.e-chords.com/t/f68.gif"
"Daft Punk","https://www.cifras.com.br/daft-punk","https://www.e-chords.com/t/f5.gif"
"Daiana Leonelli","https://www.cifras.com.br/daiana-leonelli","https://www.e-chords.com/t/f68.gif"
"Babasónicos","https://www.cifras.com.br/babasonicos","https://www.e-chords.com/t/f27.gif"
"Da Weasel","https://www.cifras.com.br/da-weasel","https://www.e-chords.com/t/f11.gif"
"Dagoberto Osorio","https://www.cifras.com.br/dagoberto-osorio","https://www.e-chords.com/t/f68.gif"
"B3","https://www.cifras.com.br/b3","https://www.e-chords.com/t/f10.gif"
"Baby & Lelei","https://www.cifras.com.br/baby-lelei","https://www.e-chords.com/t/f1.gif"
"Baby do Brasil","https://www.cifras.com.br/baby-do-brasil","https://www.e-chords.com/t/f1.gif"
"Baby please","https://www.cifras.com.br/baby-please","https://www.e-chords.com/t/f1.gif"
"Dahiara","https://www.cifras.com.br/dahiara","https://www.e-chords.com/t/f68.gif"
"Baby Consuelo","https://www.cifras.com.br/baby-consuelo","https://www.e-chords.com/t/f1.gif"
"Daddy","https://www.cifras.com.br/daddy","https://www.e-chords.com/t/f19.gif"
"Dado Dolabella","https://www.cifras.com.br/dado-dolabella","https://www.e-chords.com/t/f1.gif"
"Dady Yankee","https://www.cifras.com.br/dady-yankee","https://www.e-chords.com/t/f10.gif"
"Dag","https://www.cifras.com.br/dag","https://www.e-chords.com/t/f68.gif"
"Dag Nasty","https://www.cifras.com.br/dag-nasty","https://www.e-chords.com/t/f10.gif"
"Daieli Rebelatto","https://www.cifras.com.br/daieli-rebelatto","https://www.e-chords.com/t/f1.gif"
"Ba-Boom","https://www.cifras.com.br/ba-boom","https://www.e-chords.com/t/f1.gif"
"Babes In Toyland","https://www.cifras.com.br/babes-in-toyland","https://www.e-chords.com/t/f25.gif"
"Babyface","https://www.cifras.com.br/babyface","https://www.e-chords.com/t/f10.gif"
"Babylone","https://www.cifras.com.br/babylone","https://www.e-chords.com/t/f68.gif"
"A Banca 021","https://www.cifras.com.br/a-banca-021","https://www.e-chords.com/t/f1.gif"
"A Banda da Casa Amarela","https://www.cifras.com.br/a-banda-da-casa-amarela","https://www.e-chords.com/t/f68.gif"
"Baby Animals","https://www.cifras.com.br/baby-animals","https://www.e-chords.com/t/f12.gif"
"Dabliu Junior","https://www.cifras.com.br/dabliu-junior","https://www.e-chords.com/t/f1.gif"
"Daddy Yankee","https://www.cifras.com.br/daddy-yankee","https://www.e-chords.com/t/f3.gif"
"Dagny","https://www.cifras.com.br/dagny","https://www.e-chords.com/t/f68.gif"
"Daiany Nakata","https://www.cifras.com.br/daiany-nakata","https://www.e-chords.com/t/f1.gif"
"Babi","https://www.cifras.com.br/babi","https://www.e-chords.com/t/f1.gif"
"Babi Xavier","https://www.cifras.com.br/babi-xavier","https://www.e-chords.com/t/f68.gif"
"BABY (BR)","https://www.cifras.com.br/baby-br","https://www.e-chords.com/t/f1.gif"
"Baby Dee","https://www.cifras.com.br/baby-dee","https://www.e-chords.com/t/f68.gif"
"Dagor Sorhdeam","https://www.cifras.com.br/dagor-sorhdeam","https://www.e-chords.com/t/f68.gif"
"Dai Hirai","https://www.cifras.com.br/dai-hirai","https://www.e-chords.com/t/f68.gif"
"Bacalao Men","https://www.cifras.com.br/bacalao-men","https://www.e-chords.com/t/f68.gif"
"Dadju","https://www.cifras.com.br/dadju","https://www.e-chords.com/t/f1.gif"
"Dado Ribeiro","https://www.cifras.com.br/dado-ribeiro","https://www.e-chords.com/t/f1.gif"
"Dado Villa Lobos","https://www.cifras.com.br/dado-villa-lobos","https://www.e-chords.com/t/f1.gif"
"Dago Soares","https://www.cifras.com.br/dago-soares","https://www.e-chords.com/t/f1.gif"
"Babe Ruth","https://www.cifras.com.br/babe-ruth","https://www.e-chords.com/t/f10.gif"
"Babyshambles","https://www.cifras.com.br/babyshambles","https://www.e-chords.com/t/f10.gif"
"Dáblio Moreira","https://www.cifras.com.br/dablio-moreira","https://www.e-chords.com/t/f1.gif"
"Dag Vag","https://www.cifras.com.br/dag-vag","https://www.e-chords.com/t/f68.gif"
"Daian Schmitt","https://www.cifras.com.br/daian-schmitt","https://www.e-chords.com/t/f1.gif"
"Daiana Oliveira","https://www.cifras.com.br/daiana-oliveira","https://www.e-chords.com/t/f1.gif"
"Daiane Damasceno","https://www.cifras.com.br/daiane-damasceno","https://www.e-chords.com/t/f1.gif"
"Daiane Reis","https://www.cifras.com.br/daiane-reis","https://www.e-chords.com/t/f68.gif"
"Babylon Chat","https://www.cifras.com.br/babylon-chat","https://www.e-chords.com/t/f68.gif"
