,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
92,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",979348,https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX
93,"Vai Lá","Wesley Safadão",974366,https://open.spotify.com/track/1NFRjwcyR91yN0cLRm8263
94,"Você Nem É Tudo Isso","Marília Mendonça",958366,https://open.spotify.com/track/0zhnWntcmhChM7PXSWuNNq
95,SENTADÃO,"PEDRO SAMPAIO",946108,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A
96,"Ice Cream (with Selena Gomez)",BLACKPINK,944000,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
97,"Aí Eu Bebo - Ao Vivo","Maiara & Maraisa",935177,https://open.spotify.com/track/2Ou6UYuUbNyqwXxRDSeFRf
98,"Carreira Solo - Ao Vivo","Gusttavo Lima",932977,https://open.spotify.com/track/1MmS7UIy3J1BTxfGCRvVqN
99,"Como Se Tá Maravilhosa","Mc Lipi",923927,https://open.spotify.com/track/0eLCuW89pb6I3BC0NMGHFW
100,"Kenny G",Matuê,916791,https://open.spotify.com/track/3MkdA6vwF0ifRl86yzTlJW
101,Cogulândia,Matuê,911852,https://open.spotify.com/track/5T6mY3sQbvVfLnertXdoST
102,"Só Você","Leo Santana",900684,https://open.spotify.com/track/2cV8V9eV79HWJHD4jNQHqq
103,"Eu Feat. Você",Melim,895375,https://open.spotify.com/track/2PaOWQIEkSFkmONCv1Vgui
104,"Textão - Ao Vivo","Zé Neto & Cristiano",865144,https://open.spotify.com/track/2uhBCMHwS3SATOHIgM2KPF
105,"Qual é a do amor (feat. Atitude 67) - Ao vivo","João Gustavo e Murilo",859771,https://open.spotify.com/track/3rfPuNpqMHQKXIPoEF5iFB
106,Antes,Matuê,854634,https://open.spotify.com/track/2XymTaHTrQWDEuSyhfZvqF
107,"How You Like That",BLACKPINK,849938,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
108,"Party On My Own (feat. FAULHABER)",Alok,848565,https://open.spotify.com/track/4c9Py6O1NeuYKbJ8Ok7mTl
