,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
79,"Na Ponta do Pé - Brega Funk","Nadson O Ferinha",1197530,https://open.spotify.com/track/4VBhrKEJ9nWzaiyhM5L9ic
80,"Amor da Despedida","Os Barões Da Pisadinha",1194001,https://open.spotify.com/track/0WlmiIK5qFQ4dAB4mCA4sI
81,Mds,Kawe,1181586,https://open.spotify.com/track/0QglpM23kl9ldvVdoYNZwF
82,Gueto,IZA,1178353,https://open.spotify.com/track/2AzBHIVlSYb0fx8zHWQIgl
83,"Girl From Rio",Anitta,1177018,https://open.spotify.com/track/2plRom0urixt6BE8t7kOhQ
84,"Ele Não Te Merece","Wesley Safadão",1172690,https://open.spotify.com/track/7nsk0cwY5kfxBT21WEzmC0
85,"Coração de Isca","Bruno & Marrone",1172332,https://open.spotify.com/track/2Nlf97QqqcZ2x9Qb4h1Qt2
86,BONEKINHA,"Gloria Groove",1156449,https://open.spotify.com/track/79Djb1E319BwnYZ8cEA1mQ
87,"Uma Ex (Ao Vivo)","Murilo Huff",1155435,https://open.spotify.com/track/7xi4XR5EIOU6OHdIydLMjT
88,"Blinding Lights","The Weeknd",1152742,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
89,"Pede Pra Voltar","Cleber & Cauan",1145165,https://open.spotify.com/track/5IjLkZBAHwd77I2gAOKZLC
90,"Levitating (feat. DaBaby)","Dua Lipa",1145005,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
91,"Investe Em Mim","Jonas Esticado",1128394,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
92,"Preta do Cabelo Cacheado","Mc Don Juan",1115385,https://open.spotify.com/track/0Ve3XWcrsgy90xo0UL2syx
93,"Deixa Eu Falar pra Você","Josué Bom de Faixa",1110567,https://open.spotify.com/track/0f1xsopmPwjGv5lJooglnD
94,"Recairei - Ao Vivo","Os Barões Da Pisadinha",1109468,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
95,"Fala Comigo - Ao Vivo","Gusttavo Lima",1108102,https://open.spotify.com/track/56F3ngwk3a42aLY0o5QgBF
96,"Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",1099429,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
97,"Espirra o Lança","Dj Serpinha",1075059,https://open.spotify.com/track/5H25WPPytKQcMfIPu0oEBO
98,"Kiss Me More (feat. SZA)","Doja Cat",1061670,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
99,"Ei Tudo Bem","MC Zaquin",1053140,https://open.spotify.com/track/3yNHwvq8n95NJTBILYEciD
100,"jealousy, jealousy","Olivia Rodrigo",1042071,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
101,"MODO TURBO","Luísa Sonza",1035134,https://open.spotify.com/track/0YqTL3nSL36OFdHwHoqCag
102,"Amando Individual","Felipe Araújo",1031807,https://open.spotify.com/track/6WhnioyjsbxNSpQhCXhYv6
103,"Mtg Ta Brotando No Plantão Pra Tira Foto Com Revolver","Dj Wesley Gonzaga",1011575,https://open.spotify.com/track/1pPuodu8A0LxAuVhf3QniW
104,"Espetinho - Ao Vivo","Gusttavo Lima",1002233,https://open.spotify.com/track/52yvnBV90B2ZUC5b25cFer
105,"Os Menino da Pecuária","Léo & Raphael",988183,https://open.spotify.com/track/49QpcTWIP16YgGLmiPDvTI
106,"Maçã Verde","MC Hariel",986661,https://open.spotify.com/track/7lJoRyuNJtuiqTcKtuMuIR
107,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",966490,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
108,"Amor e Fé - Acústico","Hungria Hip Hop",965860,https://open.spotify.com/track/5ra6CI0pEzqjxPEZeBz0d7
109,Storiezin,"Raí Saia Rodada",964570,https://open.spotify.com/track/1h6a1gcgHa4hg09xEmue3V
110,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",959050,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk
111,Privilégio,"MC Luan da BS",955789,https://open.spotify.com/track/2ASs0n7ukfyxAxDtdir4vF
112,"Cidade Inteira","Eric Land",947505,https://open.spotify.com/track/7J3QMuDCSv56jRSiD9jFBF
113,"Volta por Baixo - Ao Vivo","Henrique & Juliano",946819,https://open.spotify.com/track/6juD9PQwAPvuXYIAE2gjhO
114,"Não Te Quero",NATTAN,925005,https://open.spotify.com/track/3cVF2ot6YuCD0RQY302gNz
115,"Don't Say Goodbye (feat. Tove Lo)",Alok,920290,https://open.spotify.com/track/0GTPmh5G40joBg93vcSQNq
116,"Vou Falar Que Não Quero - Remix","DJ Lucas Beat",916186,https://open.spotify.com/track/0YluTOlBctnpHPABgFSXEw
117,"Mtg - Vem Sentando Vem (feat. Dj Nbeat) - Remix","MC 2jhow",915659,https://open.spotify.com/track/2Xgc216OMnc9PyUalpaSPc
118,"Catucada Profunda","MC Igão",908133,https://open.spotify.com/track/4chepxSHy5zbkLSpTVOJ1o
119,"Don't Start Now","Dua Lipa",892352,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
120,"Nem On Nem Off",POCAH,890646,https://open.spotify.com/track/6bgZv4VkqjBIS2vawz3RsU
121,brutal,"Olivia Rodrigo",889933,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
122,"The Business",Tiësto,887341,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
123,"Anota Placa","Tz da Coronel",880554,https://open.spotify.com/track/3QUriWUE8WnWLpWxHA52k4
124,"Tudo Indica (feat. Jorge & Mateus) - Ao Vivo","Marcos & Belutti",877303,https://open.spotify.com/track/0eoMMLrWtXbLk64baeESkc
125,"Eu Sou O Mestre Dos Magos","DJ GRZS",875625,https://open.spotify.com/track/132wAeR05o10R9iSjA1XAE
126,"Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo","Grupo Menos É Mais",869507,https://open.spotify.com/track/5r9CZJMoMmxio2AnJdxuDS
127,"Briga Feia - Ao Vivo","Henrique & Juliano",866235,https://open.spotify.com/track/3Xuo5utyzk86BwlUHdTR2O
128,"Esquema Preferido - Ao Vivo","Os Barões Da Pisadinha",864387,https://open.spotify.com/track/35qOGx1CWvCkQFOv4BkVIV
129,"Trajado de Glock Ela Joga na Cara","Tz da Coronel",863458,https://open.spotify.com/track/2dcYBsq0wTqkJIlfNMGfrR
130,"Astronaut In The Ocean","Masked Wolf",860047,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
131,"Cai de vagarinho até embaixo","Mc Rennan",856699,https://open.spotify.com/track/2p04GXqx4j9sggMTFJpEBa
132,"Recaída Sem Compromisso","MC Rogerinho",847691,https://open.spotify.com/track/29KuQ0h3UdcgetoGASw2qq
133,Incomparável,"Maiara & Maraisa",840792,https://open.spotify.com/track/3sgOlQhpIlao3pSkXy9XXY
134,"MTG É Sempre Assim","DJ ARTHUZIIN",817795,https://open.spotify.com/track/7frGdTrAxXpYbvsTsaySxJ
135,positions,"Ariana Grande",812920,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
136,"Bloqueia Eu - Remix","DJ Lucas Beat",811195,https://open.spotify.com/track/0VxVv5IKWXj5o6FVO7zKXN
137,"Tá Rocheda","Os Barões Da Pisadinha",808718,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
138,"Eu Tenho a Senha","João Gomes",806551,https://open.spotify.com/track/1FJlyO8rQjPE0fxPOhBMLF
139,"Alô Ex-Amor - Ao Vivo","João Bosco e Gabriel",804823,https://open.spotify.com/track/2QCwoYDn4DRfjs4NhW2KpO
140,"Cavalo de Tróia","Mc Kevin",791077,https://open.spotify.com/track/7uXQAiHezf6VR7txWkS86Q
141,"F* F* M*","Filipe Ret",789365,https://open.spotify.com/track/0cHflpV8SSGbE0NKaasEfT
142,"Apê 1001",BIN,787356,https://open.spotify.com/track/3q6ZCGgFDIVCJQ5XG4JTL2
